experiment,scenario,N,selector,baseline,n_pairs,mean_gain,gain_ci_low,gain_ci_high,wins,losses,ties,win_rate,sign_test_p,paired_effect_size
A_controlled_object_binding,swap,1,oracle,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,swap,2,oracle,raw,16,0.30042282083043387,0.15481600342339805,0.44602963823746966,12,0,4,0.75,0.00048828125,1.0109910018526334
A_controlled_object_binding,swap,4,oracle,raw,16,0.6275979696299258,0.5525989972678623,0.7025969419919892,16,0,0,1.0,3.0517578125e-05,4.100362917428685
A_controlled_object_binding,swap,8,oracle,raw,16,0.740526691351304,0.6979391093327444,0.7831142733698636,16,0,0,1.0,3.0517578125e-05,8.520278953710173
A_controlled_object_binding,swap,16,oracle,raw,16,0.7953452323204377,0.7487379746020177,0.8419524900388577,16,0,0,1.0,3.0517578125e-05,8.361769881238697
A_controlled_object_binding,swap,32,oracle,raw,16,0.8563817586156837,0.8190397578322699,0.8937237593990974,16,0,0,1.0,3.0517578125e-05,11.237401663492856
A_controlled_object_binding,swap,64,oracle,raw,16,0.8546698116245012,0.7980685788515041,0.9112710443974983,16,0,0,1.0,3.0517578125e-05,7.398923789797702
A_controlled_object_binding,good,1,property_calibrated,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,good,2,property_calibrated,raw,16,0.005822685009407649,-0.005589777609031343,0.017235147627846642,1,0,15,0.0625,1.0,0.25
A_controlled_object_binding,good,4,property_calibrated,raw,16,0.03407476788889346,-0.04496198536718391,0.11311152114497083,2,2,12,0.125,1.0,0.21125154535967658
A_controlled_object_binding,good,8,property_calibrated,raw,16,-0.00909511459969349,-0.01984133078945447,0.0016511015900674917,1,4,11,0.0625,0.375,-0.4147139863141851
A_controlled_object_binding,good,16,property_calibrated,raw,16,-0.0034730148133465394,-0.01158545940100553,0.004639429774312451,1,1,14,0.0625,1.0,-0.2097736681158504
A_controlled_object_binding,good,32,property_calibrated,raw,16,0.00991071867401952,-0.0037113948401633814,0.023532832188202422,2,0,14,0.125,0.5,0.356497700978148
A_controlled_object_binding,good,64,property_calibrated,raw,16,0.0229819806637079,-0.0880351571259137,0.1339991184533295,4,1,11,0.25,0.375,0.10143632550279653
A_controlled_object_binding,hidden_property,1,property_calibrated,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,hidden_property,2,property_calibrated,raw,16,0.02788837968056888,-0.02677284449334612,0.08254960385448389,1,0,15,0.0625,1.0,0.25
A_controlled_object_binding,hidden_property,4,property_calibrated,raw,16,0.13677378676512691,0.057116993059951424,0.2164305804703024,9,0,7,0.5625,0.00390625,0.8413488969059244
A_controlled_object_binding,hidden_property,8,property_calibrated,raw,16,0.11164504379714142,-0.002495947865203074,0.22578603545948592,7,2,7,0.4375,0.1796875,0.47928505494706525
A_controlled_object_binding,hidden_property,16,property_calibrated,raw,16,0.06560985147456833,-0.0010117857483651904,0.13223148869750184,5,1,10,0.3125,0.21875,0.4825583483480007
A_controlled_object_binding,hidden_property,32,property_calibrated,raw,16,0.11756843283436708,-0.032994164117333497,0.2681310297860676,6,2,8,0.375,0.2890625,0.3826218015309624
A_controlled_object_binding,hidden_property,64,property_calibrated,raw,16,0.14338599840837846,0.05148354870867723,0.2352884481080797,9,2,5,0.5625,0.0654296875,0.7644969143878421
A_controlled_object_binding,merge_split,1,property_calibrated,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
A_controlled_object_binding,merge_split,2,property_calibrated,raw,16,0.03910971256550644,-0.0133111996326657,0.09153062476367857,2,0,14,0.125,0.5,0.36557469821683825
A_controlled_object_binding,merge_split,4,property_calibrated,raw,16,-0.0033258885482205427,-0.03351129554598555,0.02685951844954447,1,2,13,0.0625,1.0,-0.05398918055829862
A_controlled_object_binding,merge_split,8,property_calibrated,raw,16,0.0436967566134551,-0.005096075033979984,0.09248958826089018,3,1,12,0.1875,0.625,0.4388228765919254
A_controlled_object_binding,merge_split,16,property_calibrated,raw,16,0.0420868057332289,-0.01733077298951284,0.10150438445597064,5,1,10,0.3125,0.21875,0.3470780070913425
A_controlled_object_binding,merge_split,32,property_calibrated,raw,16,0.01961828231603,-0.0344800199570901,0.0737165845891501,1,2,13,0.0625,1.0,0.1776942700775123
A_controlled_object_binding,merge_split,64,property_calibrated,raw,16,0.0010724609529277254,-0.024788619924294826,0.02693354183015028,1,1,14,0.0625,1.0,0.020320336548555896
A_controlled_object_binding,occlusion,1,property_calibrated,raw,16,0.0,0.0,0.0,0,0,16,0.0,1.0,0.0
